time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-14T19:09:37.691Z,0.8868,97.0661,10,4.3,mb,,138,0.656,1.07,us,us70005u54,2019-10-14T19:30:59.040Z,"192km SSE of Sinabang, Indonesia",earthquake,7.5,1.9,0.138,15,reviewed,us,us
2019-10-14T11:34:01.945Z,-8.2315,109.3441,83.72,4.5,mb,,102,1.209,1.02,us,us70005u2b,2019-10-18T11:23:48.040Z,"66km SSE of Adipala, Indonesia",earthquake,7.1,7.3,0.096,32,reviewed,us,us
2019-10-14T05:28:32.249Z,-25.4707,179.3451,520.86,4.5,mb,,75,4.473,0.95,us,us70005u0n,2019-10-14T05:49:28.040Z,"South of the Fiji Islands",earthquake,12.2,7.9,0.069,62,reviewed,us,us
2019-10-14T01:44:13.651Z,-31.9512,179.8611,325.22,4.2,mb,,92,3.302,1.09,us,us70005tzr,2019-10-14T22:32:55.040Z,"130km WSW of L'Esperance Rock, New Zealand",earthquake,11.4,8.3,0.118,20,reviewed,us,us
2019-10-13T21:57:35.736Z,-30.2506,-178.011,35,5.2,mb,,65,1.004,0.99,us,us70005ty8,2019-10-13T22:47:18.040Z,"109km S of Raoul Island, New Zealand",earthquake,9.5,1.9,0.04,210,reviewed,us,us
2019-10-13T20:02:43.041Z,-20.6104,-178.7873,612.93,4.6,mb,,139,4.128,1.13,us,us70005tx5,2019-10-13T20:20:22.040Z,"10km WNW of Ndoi Island, Fiji",earthquake,11.4,10.6,0.085,41,reviewed,us,us
2019-10-13T19:46:50.319Z,-26.3866,179.7654,498.82,4.4,mb,,156,3.503,0.93,us,us70005txc,2019-10-13T21:03:14.040Z,"South of the Fiji Islands",earthquake,19,16.6,0.115,22,reviewed,us,us
2019-10-13T19:35:16.431Z,-0.1762,124.81,74.63,5,mww,,50,2.212,1.2,us,us70005twu,2019-10-13T19:48:44.040Z,"106km SSE of Lolayan, Indonesia",earthquake,7.4,7.8,0.073,18,reviewed,us,us
2019-10-13T12:21:07.964Z,-44.8783,35.0514,10,5.1,mb,,59,11.869,0.92,us,us70005tvg,2019-10-16T21:31:22.040Z,"Prince Edward Islands region",earthquake,10,1.9,0.086,44,reviewed,us,us
2019-10-13T06:09:02.441Z,-56.3715,-26.275,15.22,5.5,mb,,33,6.193,0.94,us,us70005ttv,2019-10-16T21:21:21.040Z,"67km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.7,3.5,0.047,154,reviewed,us,us
2019-10-13T03:38:23.464Z,-20.3388,-173.3537,10,4.8,mb,,106,3.463,1.12,us,us70005tt7,2019-10-13T04:02:47.040Z,"120km ESE of Pangai, Tonga",earthquake,12.5,1.9,0.116,23,reviewed,us,us
2019-10-13T03:09:11.989Z,-25.5942,-177.3573,79,4.5,mb,,140,3.671,0.95,us,us70005tt8,2019-10-13T04:12:55.040Z,"South of the Fiji Islands",earthquake,13.5,7.1,0.094,33,reviewed,us,us
2019-10-12T23:17:59.624Z,-15.7581,-69.8312,249.32,4.2,mb,,139,1.718,1.07,us,us70005ts7,2019-10-13T00:07:07.040Z,"15km W of Taquile, Peru",earthquake,10.3,8.4,0.152,12,reviewed,us,us
2019-10-12T20:40:38.243Z,-6.7804,146.5249,10,4.9,mb,,104,2.682,0.88,us,us70005tre,2019-10-12T21:16:55.040Z,"48km NNW of Bulolo, Papua New Guinea",earthquake,7.8,1.7,0.086,43,reviewed,us,us
2019-10-12T18:20:28.804Z,-4.8115,28.0962,10,4.6,mb,,60,4.944,0.75,us,us70005tqh,2019-10-16T14:05:32.040Z,"137km ENE of Kongolo, Democratic Republic of the Congo",earthquake,8.3,1.8,0.075,59,reviewed,us,us
2019-10-12T17:30:59.614Z,2.4392,128.8003,42.07,4.5,mb,,111,2.19,0.59,us,us70005tq9,2019-10-16T13:59:31.322Z,"117km NE of Tobelo, Indonesia",earthquake,3.6,8.9,0.095,36,reviewed,us,us
2019-10-12T15:51:07.058Z,5.65,126.5396,87.18,4.5,mb,,157,1.703,0.8,us,us70005tpv,2019-10-12T16:46:30.040Z,"88km SSE of Pondaguitan, Philippines",earthquake,10.4,5.3,0.136,16,reviewed,us,us
2019-10-12T14:33:00.848Z,-3.6329,139.759,55.75,4.9,mb,,116,7.531,1.17,us,us70005tpg,2019-10-12T15:01:33.040Z,"143km SW of Abepura, Indonesia",earthquake,9.5,9.7,0.122,21,reviewed,us,us
